"Thursday, 2015-11-26, 6.30pm, 8pm, Hughesdale"
"Sunday, 2015-11-29, 6pm, 7.30pm, FPH"
"Thursday, 2015-12-03, 6.30pm, 8pm, Hughesdale"
"Sunday, 2015-12-06, 6pm, 7.30pm, FPH"
"Thursday, 2015-12-10, 6.30pm, 8pm, Hughesdale"
"Sunday, 2015-12-13, 6pm, 7.30pm, FPH"
"Thursday, 2015-12-17, 6.30pm, 8pm, Hughesdale"
"Sunday, 2015-12-20, 6pm, 7.30pm, FPH"
"Thursday, 2015-12-24, 6.30pm, 8pm, Hughesdale"
"Sunday, 2015-12-27, 6pm, 7.30pm, FPH"
"Thursday, 2015-12-31, 6.30pm, 8pm, Hughesdale"
"Sunday, 2016-01-03, 6pm, 7.30pm, FPH"
